"SpillNumber","DateReported","Note","Product","ProductNote","Town","Location","LATITUDE","LONGITUDE"
"I-32-2010",3/16/2010 12:47:00 PM,"leak at filter gasket of outside AST spilled 35 -40 gallons of K-1 kerosene","#1 Fuel Oil - Kerosene","","PRESQUE ISLE","Joyce & Merle Plummer home 40 Spraugeville Road",46.624792,-67.999588
"I-33-1997",4/5/1997 10:10:00 PM,"","#1 Fuel Oil - Kerosene","","MONTICELLO","",46.3068,-67.840095
"I-33-1998",3/1/1998,"","#1 Fuel Oil - Kerosene","","PRESQUE ISLE","",46.72098,-67.910595
"I-33-2001",4/4/2001,"","#1 Fuel Oil - Kerosene","","WASHBURN","",46.772983,-68.199485
"I-33-2004",2/16/2004 11:35:00 AM,"Delivery truck rollover","#2 Fuel Oil","","DYER BROOK","",46.123598,-68.208886
"I-34-1996",4/18/1996,"","#1 Fuel Oil - Kerosene","","FORT FAIRFIELD","",46.769069,-67.823875
"I-34-1998",3/2/1998,"","#1 Fuel Oil - Kerosene","","PRESQUE ISLE","",46.677569,-68.026017
"I-34-2000",4/2/2000,"","Unspecified Oil","","FORT FAIRFIELD","",46.772129,-67.829764
"I-34-2001",4/5/2001,"","Gasoline Unspecified","","HOULTON","",46.123772,-67.843892
"I-34-2004",2/17/2004 6:30:00 PM,"5 gallon Diesel over fill at diesel pump.","Diesel","","PRESQUE ISLE","MPG Parson Street gas station",46.68953,-68.018669
"I-34-2012",2/21/2012 3:30:00 PM,"Log Truck busted hyd hose spilled 10 gal hydr oil","Hydraulic Oil","","T09 R08 WELS","26 Mile on Pinkham Rd Sullivan Logging Inc",46.443651,-68.716929
"I-35-1999",3/9/1999,"Frost moved the AST and piping/line broke spilling #2 fuel oil","#1 Fuel Oil - Kerosene","","MAPLETON","Baptist Park, 110 Colby Road, Mapleton",46.663918,-68.093642
"I-35-2001",4/11/2001,"","#1 Fuel Oil - Kerosene","","LUDLOW","",46.164161,-67.988884
"I-35-2006",2/16/2006 9:34:00 AM,"TANK FILTER FILLED WITH WATER AND FROZE, PUSHING FILTER APART  3-5 GALLONS TO GARAGE FLOOR.","#2 Fuel Oil","","EASTON","DARREN WEST  515 CENTER RD 488-9030",46.643594,-67.869533
"I-36-1995",3/15/1995 2:00:00 PM,"","#6 Fuel Oil","","CARIBOU","",46.853165,-68.006669
"I-36-2001",4/17/2001,"","#2 Fuel Oil","","FORT KENT","",47.240131,-68.554865
"I-36-2010",3/19/2010 11:44:00 AM,"homeowner thinks well has oil in it","#1 Fuel Oil - Kerosene","","BLAINE","Kevin Jones home 529 East Blaine Rd",46.488772,-67.805294
"I-36-2012",2/29/2012 7:33:00 AM,"Fuel line leaked 25 gal","#2 Fuel Oil","","PATTEN","Sharon McPhee Home 32 Church St",45.999317,-68.445802
"I-37-1984",7/21/1984,"","#1 Fuel Oil - Kerosene","","HOULTON","",46.142697,-67.810369
"I-37-1996",4/9/1996,"","Unleaded Gasoline","","LIMESTONE","",46.912776,-67.826059
"I-37-2001",4/16/2001,"","#1 Fuel Oil - Kerosene","","ASHLAND","",46.685782,-68.320039
"I-38-1994",3/19/1994 12:11:00 AM,"","#2 Fuel Oil","","LIMESTONE","",46.909756,-67.825378
"I-38-1995",5/10/1995,"","Unleaded Gasoline","","FORT FAIRFIELD","",46.766107,-67.849173
"I-38-2002",2/27/2002,"","#1 Fuel Oil - Kerosene","","PRESQUE ISLE","Don and Laurie Cyr 13 Turner St.",46.687271,-68.022005
"I-39-1990",3/15/1990,"","#2 Fuel Oil","","HOULTON","",46.124307,-67.842898
"I-39-1991",4/1/1991,"","Leaded Gasoline","","STOCKHOLM","",46.959177,-68.14249
"I-39-1995",3/28/1995,"","Transformer Oil","Non PCB - less than 50 ppm.","PRESQUE ISLE","",46.771386,-67.842499
"I-39-2001",4/19/2001,"","#2 Fuel Oil","","HOULTON","",46.178717,-67.804435
"I-39-2002",3/1/2002,"","#1 Fuel Oil - Kerosene","","MORO PLT","",46.161605,-68.346831
"I-40-1991",4/1/1991,"","Unleaded Gasoline","","NEW SWEDEN","",46.954113,-68.098862
"I-40-1995",5/12/1995,"","#1 Fuel Oil - Kerosene","","CARIBOU","",46.854221,-68.030314
"I-40-2006",2/27/2006 10:30:00 AM,"Tractor trailer saddle tank split open.","Diesel","","HERSEY","Rt 11 about 6 miles north of Patten near Hale Brook",46.11503,-68.40853
"I-41-1988",4/26/1988,"","Gasoline Unspecified","","ASHLAND","",46.626816,-68.402392
"I-41-1994",4/15/1994,"","","","PRESQUE ISLE","",46.698336,-68.020551
"I-41-1995",5/6/1995,"","Unleaded Gasoline","","FRENCHVILLE","",47.175282,-68.887221
"I-41-1998",3/4/1998,"","#1 Fuel Oil - Kerosene","","ASHLAND","",46.686481,-68.318979
"I-42-1994",4/7/1994,"","Unleaded Gasoline","","SMYRNA","",46.129445,-68.164728
"I-42-1995",5/17/1995,"","#1 Fuel Oil - Kerosene","","LIMESTONE","",46.961668,-67.829725
"I-42-1998",3/11/1998,"","#1 Fuel Oil - Kerosene","","SHERMAN","",45.862383,-68.416925
"I-42-2001",4/30/2001 10:30:00 AM,"","Transmission Oil","","PRESQUE ISLE","",46.75965,-68.475716
"I-43-1994",4/15/1994,"","#2 Fuel Oil","","BRIDGEWATER","",46.425277,-67.842779
"I-43-1995",5/17/1995,"","Gasoline Unspecified","","PRESQUE ISLE","",46.612019,-67.979056
"I-43-1996",5/13/1996,"","Gasoline Unspecified","","CARIBOU","",46.860063,-68.016259
"I-43-2000",5/4/2000,"","Lube Oil","","CARIBOU","",46.854001,-68.020807
"I-43-2003",2/20/2003,"1800.99 gallons hydraulic oil to sewer plant","Hydraulic Oil","","MADAWASKA","Fraser Papers Bridge Street Madawaska",47.359027,-68.328642
"I-43-2005",3/2/2005,"50.99 gallons from AST into basement sump","#2 Fuel Oil","","CARIBOU","David Searles 215 Belanger Road Caribou, Me",46.914203,-67.99916
"I-44-1996",4/16/1996,"","Diesel","","ASHLAND","",46.621287,-68.41321
"I-44-1999",4/8/1999,"","#2 Fuel Oil","","CARIBOU","",46.874645,-67.986357
"I-44-2002",3/5/2002 9:30:34 AM,"","#2 Fuel Oil","","CARIBOU","",46.904782,-67.987782
"I-46-1996",5/15/1996,"","Chlorine","","LIMESTONE","",46.916107,-67.92722
"I-46-2000",5/16/2000,"","#1 Fuel Oil - Kerosene","","T17 R04 WELS","",47.169789,-68.268895
"I-46-2002",2/15/2002 9:45:59 AM,"","#2 Fuel Oil","","MADAWASKA","Spill occurred on Main St. in front of 496 Main street",47.355914,-68.327012
"I-47-1994",4/12/1994,"","#1 Fuel Oil - Kerosene","","SMYRNA","",46.126539,-68.163959
"I-47-1995",5/28/1995 10:20:00 PM,"","Diesel","","FORT KENT","",47.248344,-68.600858
"I-47-1996",5/22/1996,"","#2 Fuel Oil","","CARIBOU","",46.873302,-68.01158
"I-47-2002",3/5/2002 4:45:03 PM,"","Unknown Substance","","WASHBURN","Next to Parson Road, Approx 2 miles from intersection of castle hill Road",46.753061,-68.120609
"I-48-1994",4/13/1994,"","Gasoline Unspecified","","LIMESTONE","",46.901942,-67.827225
"I-48-1995",5/24/1995,"","Diesel","","NEW LIMERICK","",46.098334,-67.958883
"I-48-2000",5/19/2000,"","#2 Fuel Oil","","LIMESTONE","",46.911114,-67.824564
"I-49-1994",4/18/1994 12:45:00 PM,"","Hydraulic Oil","","PRESQUE ISLE","",46.690556,-68.011668
"I-49-1995",5/31/1995,"","#2 Fuel Oil","","CARIBOU","",46.87861,-67.993889
"I-49-1997",5/14/1997,"","#1 Fuel Oil - Kerosene","","MADAWASKA","",47.346771,-68.280492
"I-49-2002",3/15/2002 6:00:02 PM,"","#2 Fuel Oil","","FORT FAIRFIELD","",46.727237,-67.817993
"I-49-2008",3/5/2008 10:00:00 AM,"leaking AST alongside outside of mobile home","#1 Fuel Oil - Kerosene","","PATTEN","Fogg Home, 26 Katahdin St., Patten",45.995545,-68.449391
"I-50-1994",4/12/1994 1:45:00 PM,"","Transformer Oil","Non PCB - less than 50 ppm.","PRESQUE ISLE","",46.706948,-67.956384
"I-50-1995",6/3/1995,"","#2 Fuel Oil","","HOULTON","",46.127502,-67.840838
"I-50-1996",5/29/1996,"","Hydraulic Oil","","LIMESTONE","",46.907246,-67.827496
"I-50-2000",5/31/2000,"","#2 Fuel Oil","","CARIBOU","",46.810622,-67.995319
"I-50-2001",2/19/2001 10:30:00 AM,"","Diesel","","HOULTON","",46.123286,-67.843851
"I-50-2002",3/16/2002 5:15:51 PM,"","Unleaded Gasoline","","ASHLAND","",46.626895,-68.402404
"I-50-2008",3/6/2008 6:45:00 PM,"Approximately 175 gallons of kerosene leaked from a home 275, which quickly contaminated the home water supply.","#1 Fuel Oil - Kerosene","","WESTFIELD","300 Young lake Road Westfield, ME",46.516908,-67.93389
"I-51-1994",4/18/1994 3:30:00 PM,"","#1 Fuel Oil - Kerosene","","LIMESTONE","",46.902891,-67.872338
"I-51-1997",5/13/1997,"","Gasoline Unspecified","","HOULTON","",46.125513,-67.818519
"I-51-2000",6/1/2000,"","Hazardous Chemical - Unspecified","","HODGDON","",46.058307,-67.863192
"I-51-2001",2/8/2001 7:35:00 AM,"","Diesel","","FORT KENT","",47.248344,-68.600858
"I-52-1988",5/12/1988,"","#2 Fuel Oil","","HOULTON","",46.143949,-67.840144
"I-52-1994",4/16/1994,"","#1 Fuel Oil - Kerosene","","WASHBURN","",46.80389,-68.176115
"I-52-1996",5/30/1996,"","Gasoline Unspecified","","FORT FAIRFIELD","",46.773389,-67.835081
"I-52-1997",5/16/1997 10:52:50 AM,"","Diesel","","PRESQUE ISLE","",46.683812,-68.017543
"I-52-2000",6/10/2000 11:30:00 AM,"","Hydraulic Oil","","MAPLETON","",46.696957,-68.094709
"I-53-1994",4/11/1994,"","","","LIMESTONE","",46.942776,-67.927778
"I-53-1995",6/5/1995,"","Hazardous Chemical - Unspecified","","MAPLETON","",46.706667,-68.058888
"I-53-1999",6/4/1999,"","#1 Fuel Oil - Kerosene","","HOULTON","",46.053628,-67.850611
"I-53-2010",4/7/2010 9:00:00 AM,"scheduled removal of 4 Steel -UST's","Unleaded Gasoline","","PATTEN","Former Patten General Store",45.996449,-68.446872
"I-54-1993",4/12/1993 2:23:00 PM,"","Unspecified Oil","","PRESQUE ISLE","",46.667095,-68.031316
"I-54-1994",4/16/1994 4:15:00 PM,"","","","CARIBOU","",46.857219,-68.003052
"I-54-1995",5/11/1995,"","Unleaded Gasoline","","MAPLETON","",46.6925,-68.102216
"I-54-1997",5/20/1997,"","Unleaded Gasoline","","LIMESTONE","",46.91279,-67.826071
"I-54-2002",4/1/2002 1:40:42 PM,"","#2 Fuel Oil","","BRIDGEWATER","",46.425347,-67.843381
"I-54-2006",3/7/2006,"100.99 gal. #2 fuel-corrosion hole in outside AST","#2 Fuel Oil","","WESTFIELD","Donald Macoux 14 Miller Road Westfield",46.536768,-67.908593
"I-54-2008",3/13/2008 10:43:00 AM,"Overfill of UST causing spill of about 2 gallons #2 heating oil","#2 Fuel Oil","","CARIBOU","Carbiou High School, Rte 161, Caribou",46.863325,-68.03314
"I-54-2009",3/17/2009 12:20:00 AM,"Home fuel delivery truck spilled  3-4 gal diesel","Diesel","","MADAWASKA","Larry's Service Station West Main St., Madawaska",47.356358,-68.333178
"I-55-1984",10/8/1984 11:55:00 AM,"","#2 Fuel Oil","","CARIBOU","",46.854729,-68.000238
"I-55-2002",4/3/2002 8:26:24 AM,"","Gasoline Unspecified","","WOODLAND","Stephanie White 649 Carson Road Woodland, Me. 04736",46.843442,-68.134128
"I-56-1994",4/22/1994 7:10:00 PM,"","Hydraulic Oil","","PRESQUE ISLE","",46.67694,-68.011668
"I-56-1995",6/19/1995 9:30:00 AM,"","#2 Fuel Oil","","HODGDON","",46.050025,-67.853138
"I-56-2002",4/5/2002 12:45:57 PM,"","Waste Oil/Used Motor Oil","","FORT KENT","Unknown- 2 5 gallon pails of waste oil found behind Nedeau's  House and Furniture",47.248356,-68.602336
"I-56-2007",3/27/2007 12:35:00 PM,"","#2 Fuel Oil","","CARIBOU","Houlton Farms Dairy Bar Caribou",46.867313,-68.005422
"I-57-1999",5/13/1999,"","Diesel","","WESTFIELD","",46.567547,-67.983306
"I-57-2001",5/3/2001,"","#2 Fuel Oil","","PORTAGE LAKE","",46.788438,-68.502432
"I-58-1988",5/23/1988,"","Waste Oil/Used Motor Oil","","HOULTON","",46.125162,-67.823775
"I-58-1989",7/11/1989,"","Leaded Gasoline","","BRIDGEWATER","",46.449276,-67.792013
"I-58-1994",4/29/1994 11:15:00 PM,"","#6 Fuel Oil","","WALLAGRASS","",47.15583,-68.57695
"I-58-1999",1/13/1999 3:30:00 PM,"","Hydraulic Oil","","ASHLAND","T10 R6 Sugar Road",46.523059,-69.651948
"I-58-2000",6/5/2000,"","Gasoline Unspecified","","FORT FAIRFIELD","",46.768715,-67.843739
"I-58-2001",5/5/2001,"","#2 Fuel Oil","","ISLAND FALLS","",46.032105,-68.200467
"I-58-2002",4/8/2002 3:55:15 PM,"","None","","HOULTON","",46.121763,-67.844696
"I-59-1995",7/10/1995,"","#2 Fuel Oil","","HOULTON","",46.11423,-67.849692
"I-59-1996",7/1/1996,"","#2 Fuel Oil","","PRESQUE ISLE","",46.681447,-68.014425
"I-59-2002",4/11/2002 4:30:23 PM,"","Waste Oil/Used Motor Oil","","PRESQUE ISLE","",46.706843,-68.008028
"I-60-1994",4/27/1994,"","Hazardous Chemical - Unspecified","","HODGDON","",46.059444,-67.849968
"I-60-1995",7/21/1995,"","Unleaded Gasoline","","FORT KENT","",47.268608,-68.594441
"I-60-1996",6/18/1996,"","Gasoline Unspecified","","PRESQUE ISLE","",46.695727,-68.036677
"I-60-2002",4/16/2002 2:38:34 PM,"","#2 Fuel Oil","","CARIBOU","Julianne Brown  32 Fenderson Road Caribou,Me.",46.858469,-68.007072
"I-60-2003",2/25/2003 10:30:50 AM,"Spill on ground, no clean up, last spill log entry Nov 2002","Transmission Oil","","PRESQUE ISLE","",46.699178,-68.010358
"I-60-2005",3/28/2005,"double tank system corrosion hole in one AST","#2 Fuel Oil","","FORT FAIRFIELD","",46.771218,-67.828992
"I-61-1995",7/23/1995,"","#1 Fuel Oil - Kerosene","","MAPLETON","",46.65361,-68.16111
"I-61-2001",5/11/2001,"","#1 Fuel Oil - Kerosene","","ASHLAND","",46.685074,-68.323142
"I-61-2002",4/17/2002 10:30:48 AM,"","Diesel","","VAN BUREN","US/ Canadian border crossing Bridge St. Van Buren",47.159202,-67.932257
"I-61-2003",2/28/2003 1:00:24 AM,"Meter leak under dispenser","Unleaded Gasoline","","FORT KENT","",47.250538,-68.595859
"I-62-1989",5/25/1989,"","Gasoline Unspecified","","PORTAGE LAKE","",46.759798,-68.475518
"I-62-1994",4/26/1994 1:00:00 AM,"","Hazardous Chemical - Unspecified","","HOULTON","",46.126113,-67.856672
"I-62-1995",7/25/1995,"","Hydraulic Oil","","LITTLETON","",46.247778,-67.886941
"I-62-1996",7/2/1996,"","Gasoline Unspecified","","LITTLETON","",46.241973,-67.853135
"I-62-2000",6/15/2000,"","#2 Fuel Oil","","PRESQUE ISLE","",46.708527,-67.989554
"I-62-2007",4/4/2007,"5.99 gal. - fuel came out untightened plug in top of tank while being filled","Unleaded Gasoline","","MADAWASKA","Town of Madawaska Main Street Madawaska",47.353921,-68.300918
"I-62-2008",3/23/2008 1:55:00 PM,"weight of snow crack fuel line at AST spilling 100 gal heating oil","#2 Fuel Oil","","SHERMAN","59 Gardner Street left off Main Street (Route 158) before Molunkus Stream bridge, house is brown and is the last house on the road",45.877393,-68.390427
"I-63-1986",5/29/1986,"","Unknown Substance","","EASTON","",46.641775,-67.912168
"I-63-1994",4/26/1994 2:00:00 PM,"","","","E PLANTATION","",46.499447,-67.935835
"I-63-1995",7/27/1995,"","Unspecified Motor Fuel","","SHERMAN","",45.871393,-68.35945
"I-63-2000",6/14/2000 9:00:00 PM,"","Leaded Gasoline","","PRESQUE ISLE","",46.652281,-68.039026
"I-64-1993",5/3/1993,"","#1 Fuel Oil - Kerosene","","MORO PLT","",46.124961,-68.369172
"I-64-1994",5/13/1994 7:30:00 AM,"","Leaded Gasoline","","CARIBOU","",46.868059,-68.004727
"I-64-1995",8/4/1995,"","Diesel","","MADAWASKA","",47.358334,-68.328894
"I-64-1996",6/19/1996,"","Gasoline Unspecified","","ISLAND FALLS","",46.008594,-68.268448
"I-64-2001",5/21/2001,"","#1 Fuel Oil - Kerosene","","CROSS LAKE TWP","",47.134489,-68.336581
"I-65-1994",4/25/1994,"","Transformer Oil","Non PCB - less than 50 ppm.","SHERMAN","",45.816391,-68.323615
"I-65-1995",8/4/1995,"","Pesticide General","","BLAINE","",46.473891,-67.850555
"I-65-1997",5/30/1997,"","#2 Fuel Oil","","PRESQUE ISLE","",46.67416,-68.00402
"I-65-1999",5/13/1999,"","Unleaded Gasoline","","PRESQUE ISLE","",46.678534,-68.009651
"I-65-2000",6/17/2000,"","Gasoline Unspecified","","ST JOHN PLT","",47.220129,-68.756514
"I-65-2001",5/26/2001 12:00:00 PM,"","None","","PRESQUE ISLE","",46.73367,-68.04317
"I-66-1986",6/12/1986,"","Hazardous Chemical - Unspecified","","BRIDGEWATER","",47.250121,-68.598754
"I-66-1994",4/25/1994,"","Hydraulic Oil","","LITTLETON","",46.194446,-67.800836
"I-66-1997",6/4/1997,"","Gasoline Unspecified","","ASHLAND","",46.627329,-68.398348
"I-67-1994",5/3/1994,"","","","FORT KENT","",47.274165,-68.590828
"I-67-1995",8/7/1995,"","#6 Fuel Oil","","WASHBURN","",46.790965,-68.150521
"I-67-1996",7/8/1996 1:10:00 PM,"","Diesel","","ASHLAND","",46.623664,-68.402586
"I-67-2000",6/15/2000,"","Diesel","","OAKFIELD","",46.113475,-68.159717
"I-67-2002",4/29/2002 9:30:06 AM,"","#1 Fuel Oil - Kerosene","","HOULTON","Tyler Swallow Lot 4 Houlton Trailer Park",46.12599,-67.808207
"I-68-1994",5/17/1994,"","","","HOULTON","",46.125556,-67.828336
"I-68-1996",7/9/1996 2:10:00 AM,"","#1 Fuel Oil - Kerosene","","EASTON","",46.656969,-67.894581
"I-68-2001",5/31/2001,"","Gasoline Unspecified","","OAKFIELD","",46.130042,-68.081924
"I-68-2002",7/11/2002 4:13:39 PM,"","Diesel","","ST FRANCIS","Unknown Next to Johns Country Store US Rt. 1 St. Francis",47.168424,-68.910087
"I-68-2004",4/14/2004 4:32:00 AM,"Trailer truck roll over.","Diesel","","ISLAND FALLS","I-95 South Just South of the Island Falls exit ",45.998808,-68.280374
"I-68-2008",4/2/2008 10:05:00 AM,"Leak in AST spilling 50 gallons of Kerosene","#1 Fuel Oil - Kerosene","","CARIBOU","Lot 19, Mojave Properties Trailer Park, Access Hiway",46.886829,-67.948786
"I-69-1988",5/30/1988,"","None","","VAN BUREN","",47.155895,-67.934406
"I-69-1994",5/12/1994,"","#2 Fuel Oil","","CARIBOU","",46.860312,-68.016112
"I-69-1995",8/10/1995,"","Hydraulic Oil","","T12 R09 WELS","",46.691115,-68.878058
"I-69-1998",3/27/1998,"","#1 Fuel Oil - Kerosene","","FORT FAIRFIELD","",46.710324,-67.802109
"I-69-2001",5/8/2001,"","#1 Fuel Oil - Kerosene","","CARIBOU","",46.886045,-67.948978
"I-69-2002",5/9/2002 1:30:31 PM,"","#1 Fuel Oil - Kerosene","","WALLAGRASS","",47.155055,-68.573067
"I-70-1994",5/18/1994 1:30:00 PM,"","#2 Fuel Oil","","LIMESTONE","",46.942776,-67.927778
"I-70-1995",8/4/1995,"","#2 Fuel Oil","","AMITY","",45.932501,-67.838329
"I-70-1997",6/23/1997 8:30:00 AM,"","Gasoline Unspecified","","PATTEN","",45.986388,-68.450222
"I-70-2001",5/1/2001 12:00:43 AM,"Broken vent pipe on tank","None","","ST AGATHA","",47.241705,-68.307131
"I-70-2014",3/12/2014 8:00:00 AM,"AST overfill","#2 Fuel Oil","","STOCKHOLM","Scott Hewitt residence 173 Donworth Street",47.04279,-68.122642
"I-71-1990",4/26/1990,"","Gasoline Unspecified","","PRESQUE ISLE","",46.695353,-68.043854
"I-71-1993",5/10/1993,"","#2 Fuel Oil","","MARS HILL","",46.569063,-67.822366
"I-71-1994",5/23/1994,"","Unknown Substance","","FORT FAIRFIELD","",46.778057,-67.842775
"I-71-1997",6/25/1997,"","#1 Fuel Oil - Kerosene","","GRAND ISLE","",47.302552,-68.153945
"I-71-1999",1/14/1999 1:14:00 PM,"","Hydraulic Oil","","ASHLAND","T11 R8 Rowe Brook Road",46.523059,-69.651948
"I-71-2005",4/14/2005,"Equipment leak where stored ","Diesel","","HOULTON","",46.181237,-67.81074
"I-71-2009",4/13/2009 1:20:00 PM,"2 to 3 gallons spilled from diesel pump due to overfill","Diesel","","ASHLAND","Al's Texaco Route 163, Mapleton Road Ashland",46.62731,-68.398297
"I-72-1992",6/6/1992,"","Diesel","","PRESQUE ISLE","",46.695353,-68.043854
"I-72-1994",6/1/1994 3:40:00 PM,"","","","MADAWASKA","",47.359165,-68.328049
"I-72-2000",6/23/2000 8:00:00 AM,"","Hazardous Chemical - Specified in report","","MADAWASKA","",47.359165,-68.328049
"I-72-2004",4/20/2004 11:20:00 AM,"traffic accident last winter","Diesel","","ST JOHN PLT","1346 St. John Road St. John Plantation",47.236205,-68.716476
"I-72-2008",4/7/2008 9:00:00 AM,"spilled 2 quarts of diesel during fueling ops","Diesel","","WOODLAND","At MDOT Woodland Lot #175, crew 526",46.894308,-68.117618
"I-73-1988",6/2/1988,"","Leaded Gasoline","","ASHLAND","",46.699327,-68.48065
"I-73-1994",5/26/1994,"","Hazardous Chemical - Unspecified","","PRESQUE ISLE","",46.652281,-68.039026
"I-73-1995",8/11/1995,"","Pesticide General","","T14 R10 WELS","",46.875278,-69.03555
"I-73-1996",7/15/1996,"","#2 Fuel Oil","","STOCKHOLM","",47.044395,-68.100004
"I-73-1997",7/1/1997,"","Unspecified Motor Fuel","","ALLAGASH","",47.107417,-69.08365
"I-73-2001",6/5/2001,"","Non-Hazardous Chemical - Specified in report","","NASHVILLE PLT","",46.701347,-68.484016
"I-73-2002",5/14/2002 12:45:31 PM,"","Diesel","","MASARDIS","Rt. 11 Masardis",46.477504,-68.387795
"I-74-1989",6/6/1989,"","Gasoline Unspecified","","PRESQUE ISLE","",46.698668,-68.020721
"I-74-1998",3/19/1998 11:00:00 AM,"Crash valve left open during filter change resulted in spillage of 10 gallons of gas","Unleaded Gasoline","","HOULTON","DOC's Place gas station, Bangor Street, Houlton",46.123881,-67.843586
"I-74-2000",7/11/2000,"","Gasoline Unspecified","","ISLAND FALLS","",46.020694,-68.358982
"I-74-2002",5/14/2002 9:15:01 AM,"","#2 Fuel Oil","","MADAWASKA","341 Main Street Madawaska, Me.  04756",47.354547,-68.313743
"I-74-2003",3/13/2003 10:35:40 PM,"Corrosion leak in AST in cellar","#2 Fuel Oil","","WASHBURN","",46.776232,-68.15245
"I-75-1994",5/24/1994,"","Waste Oil/Used Motor Oil","","OAKFIELD","",46.108334,-68.148057
"I-75-1997",7/8/1997,"","Unspecified Motor Fuel","","LITTLETON","",46.241242,-67.879285
"I-75-2000",7/13/2000 9:46:00 AM,"","Pesticide General","","MAPLETON","",46.72911,-68.092172
"I-75-2002",5/20/2002 4:16:11 PM,"","Gasoline Unspecified","","PERHAM","",46.843661,-68.201951
"I-75-2003",3/14/2003 8:00:26 AM,"Big Blue house two houses before Daigle's Gas Station going towards Ft Kent on Rt#161","#2 Fuel Oil","","NEW CANADA","",47.189495,-68.473939
"I-75-2011",4/23/2011 8:00:00 PM,"1500-200 gallons diesel-leaking delivery truck","Diesel","","FORT KENT","Robert McBrearrty US Rt. 1 Fort Kent, Me",47.235726,-68.652896
"I-76-1994",5/24/1994,"","Gasoline Unspecified","","PRESQUE ISLE","",46.68177,-68.023885
"I-76-2000",7/19/2000 1:00:00 AM,"plane crash","Jet Fuel","Fuel for turbine powered aircraft.","LINNEUS","",46.082142,-67.973751
"I-77-1994",6/7/1994,"","Transformer Oil","Non PCB - less than 50 ppm.","PRESQUE ISLE","",46.689168,-68.010281
"I-77-1995",8/25/1995 3:15:00 PM,"","#2 Fuel Oil","","WESTON","",45.706664,-67.860552
"I-77-1998",3/31/1998,"","Gasoline Unspecified","","PRESQUE ISLE","",46.683168,-68.015365
"I-77-2001",6/22/2001,"","#2 Fuel Oil","","HOULTON","",46.119964,-67.852929
"I-78-1995",8/16/1995 2:50:00 PM,"","Hazardous Chemical - Specified in report","","CARIBOU","",46.888057,-67.950553
"I-78-1997",7/3/1997,"","#2 Fuel Oil","","CARIBOU","",46.846194,-68.006358
"I-78-1999",3/2/1999 2:20:00 PM,"","#2 Fuel Oil","","PRESQUE ISLE","",46.685276,-68.021389
"I-78-2001",5/25/2001,"","#1 Fuel Oil - Kerosene","","T09 R13 WELS","",46.419293,-68.046785
"I-78-2002",5/29/2002 4:30:43 PM,"","Gasoline Unspecified","","HOULTON","",46.121814,-67.844748
"I-78-2009",4/30/2009,"60.99 gallons from outside AST-most went to lake","#1 Fuel Oil - Kerosene","","FORT FAIRFIELD","Charles Fowler 29 Morse Road(Monson Pond) Fort Fairfield, Me.",46.702963,-67.802378
"I-79-1994",6/16/1994,"","Hazardous Chemical - Unspecified","","HOULTON","",46.181941,-67.803893
"I-79-1995",8/31/1995,"","Unleaded Gasoline","","HOULTON","",46.162574,-67.840927
"I-79-1996",2/24/1996,"","Unleaded Gasoline","","EAGLE LAKE","",47.040393,-68.596976
"I-79-2002",5/23/2002 12:00:44 AM,"","#1 Fuel Oil - Kerosene","","LINNEUS","RR 2, BOX 2900 LINNEUS",46.053271,-67.935753
"I-79-2007",4/18/2007 1:00:00 PM,"Gas in sumps, source leak detection system Tank Reg # 14518","Gasoline Unspecified","","FORT KENT","Doc's Place, gas station, 55 West Main St.,Fort Kent",47.250538,-68.595859
"I-80-1992",6/17/1992,"","Gasoline Unspecified","","LIMESTONE","",46.923874,-67.873847
"I-80-1995",9/5/1995,"","Hazardous Chemical - Specified in report","","FORT FAIRFIELD","",46.767223,-67.904169
"I-80-1996",4/8/1996 3:30:00 PM,"","Unleaded Gasoline","","HOULTON","",46.102741,-67.870139
"I-80-1997",7/7/1997,"","#5 Fuel Oil","","PRESQUE ISLE","",46.685221,-68.005733
"I-80-2000",8/14/2000,"","Gasoline Unspecified","","CARIBOU","",46.866006,-68.033146
"I-80-2001",6/21/2001,"","#2 Fuel Oil","","HOULTON","",46.116338,-67.806537
"I-80-2005",5/3/2005 12:00:00 PM,"3 month slow leak from 275 filter, unknown amount of oil spilled.","#1 Fuel Oil - Kerosene","","BLAINE","117 Bubar Road Blaine, Maine",46.495784,-67.880376
"I-81-1994",6/16/1994,"","Diesel","","ASHLAND","",46.631107,-68.407777
"I-81-1995",9/7/1995 11:21:00 PM,"","#6 Fuel Oil","","HOULTON","",46.107227,-67.878089
"I-81-1997",7/6/1997 7:56:00 AM,"","#2 Fuel Oil","","MARS HILL","",46.513158,-67.871673
"I-81-2010",6/3/2010 11:00:00 AM,"10+ gallons kerosene spilled  from AST when siphoning fuel   ","#1 Fuel Oil - Kerosene","","FORT FAIRFIELD","Virginia Willette rentor 93 Page Road   Fred's cell# 227-5266",46.710813,-67.822728
"I-82-1989",6/1/1989,"","Gasoline Unspecified","","PRESQUE ISLE","",46.658392,-68.006312
"I-82-1993",6/2/1993 8:48:00 AM,"","Gasoline Unspecified","","ASHLAND","",46.625631,-68.401139
"I-82-1994",6/23/1994 10:20:00 PM,"","Gasoline Unspecified","","PRESQUE ISLE","",46.528669,-67.904361
"I-82-1995",9/11/1995,"","Diesel","","VAN BUREN","",47.171002,-67.945058
